name,url,country,pageid,revid,ores
Said Tayeb Jawad,https://en.wikipedia.org/wiki/Said_Tayeb_Jawad,Afghanistan,6392185,1093621927,C
Faizullah Kakar,https://en.wikipedia.org/wiki/Faizullah_Kakar,Afghanistan,45062095,1108932917,C
Amin Karim,https://en.wikipedia.org/wiki/Amin_Karim,Afghanistan,42542399,1106333491,C
Sayed Jalal Karim,https://en.wikipedia.org/wiki/Sayed_Jalal_Karim,Afghanistan,27668571,1060701067,Start
Ahmed Wali Karzai,https://en.wikipedia.org/wiki/Ahmed_Wali_Karzai,Afghanistan,430417,1090245979,GA
Khadija Zahra Ahmadi,https://en.wikipedia.org/wiki/Khadija_Zahra_Ahmadi,Afghanistan,71600382,1115331693,Stub
Hafizullah Shabaz Khail,https://en.wikipedia.org/wiki/Hafizullah_Shabaz_Khail,Afghanistan,5294659,1092416288,Start
Rouh Gul Khairzad,https://en.wikipedia.org/wiki/Rouh_Gul_Khairzad,Afghanistan,40495241,925562571,Stub
Masoud Khalili,https://en.wikipedia.org/wiki/Masoud_Khalili,Afghanistan,3056711,1103105365,GA
Mohammad Khan (athlete),https://en.wikipedia.org/wiki/Mohammad_Khan_(athlete),Afghanistan,45419022,1070779097,Stub
Samoud Khan,https://en.wikipedia.org/wiki/Samoud_Khan,Afghanistan,7493859,1010948755,Start
Farzana Kochai,https://en.wikipedia.org/wiki/Farzana_Kochai,Afghanistan,68717703,1079430136,Stub
Farida Kuchi,https://en.wikipedia.org/wiki/Farida_Kuchi,Afghanistan,34369829,1109436134,Start
Baran Khan Kudezai,https://en.wikipedia.org/wiki/Baran_Khan_Kudezai,Afghanistan,23672202,1106151353,Start
Azizullah Lodin,https://en.wikipedia.org/wiki/Azizullah_Lodin,Afghanistan,24850187,1102817004,Start
Razaq Mamoon,https://en.wikipedia.org/wiki/Razaq_Mamoon,Afghanistan,17013397,1100189662,Start
Fazel Ahmed Manawi,https://en.wikipedia.org/wiki/Fazel_Ahmed_Manawi,Afghanistan,273143,1106464575,Stub
